Date,BuyHold,JM_only,Fused_PIT
2020-03-05,-0.033241877148424304,-0.0,-0.033241877148424304
2020-03-06,-0.01653099599010699,-0.0,-0.01653099599010699
2020-03-09,-0.07809441172964005,-0.0,-0.07809441172964005
2020-03-10,0.051744666165732145,0.0,0.051744666165732145
2020-03-11,-0.04874826225527573,-0.0,-0.04874826225527573
2020-03-12,-0.09567710866220813,-0.0,-0.0002
2020-03-13,0.08548580064058187,0.0,0.0
2020-03-16,-0.10942324502941747,-0.0,-0.0
2020-03-17,0.05399189998631382,0.0,0.0
2020-03-18,-0.050632796017410886,-0.0,-0.0
2020-03-19,0.0021248934787829743,0.0,0.0
2020-03-20,-0.043094004348659065,-0.0,-0.0
2020-03-23,-0.025568325474410347,-0.0,-0.0
2020-03-24,0.09060320361389529,0.0,0.0
2020-03-25,0.014970045777002339,0.0,0.0
2020-03-26,0.058389965366667296,0.0,0.0
2020-03-27,-0.02978587379683506,-0.0,-0.0
2020-03-30,0.03247604848193619,0.0,0.0
2020-03-31,-0.014905514223777616,-0.0,-0.0
2020-04-01,-0.04500481364350595,-0.0,-0.0
2020-04-02,0.02307538865281855,0.0,0.0
2020-04-03,-0.014454259378308687,-0.0,-0.0
2020-04-06,0.06716597292689319,0.0,0.0
2020-04-07,0.0010194242753462923,0.0,0.0
2020-04-08,0.033568675730549336,0.0,0.0
2020-04-09,0.015217250797028736,0.0,0.0
2020-04-13,-0.00913016718959725,-0.0,-0.0
2020-04-14,0.02949316348056219,0.0,0.0
2020-04-15,-0.02124805807979191,-0.0,-0.0
2020-04-16,0.004824118356707707,0.0,0.0
2020-04-17,0.027015090339347125,0.0,0.0
2020-04-20,-0.017617968231252834,-0.0,-0.0
2020-04-21,-0.030362941713526825,-0.0,-0.0
2020-04-22,0.022194545871595528,0.0,0.0
2020-04-23,-7.208306252626251e-05,-0.0,-0.0
2020-04-24,0.013938728786602406,0.0,0.0
2020-04-27,0.014418781125579816,0.0,0.0
2020-04-28,-0.004598542636358172,-0.0,-0.0
2020-04-29,0.026178521459044424,0.0,0.0
2020-04-30,-0.009310705273016806,-0.0,-0.0
2020-05-01,-0.026473321758148094,-0.0,-0.0
2020-05-04,0.0027584734983092662,0.0,0.0
2020-05-05,0.009239003307806026,0.0,0.0
2020-05-06,-0.006778585539404136,-0.0,-0.0
2020-05-07,0.012066672934603062,0.0,0.0
2020-05-08,0.016546128048629205,0.0,0.0
2020-05-11,0.0002051360061938734,0.0,0.0
2020-05-12,-0.0199315664988422,-0.0,-0.0
