Date,AR,dAR
2023-08-09,0.7957189806124203,-1.2281113976287752
2023-08-10,0.7966898403942102,-1.2406269094960394
2023-08-11,0.7955883058557526,-1.259484661490947
2023-08-14,0.7946483733380796,-1.2806981573170726
2023-08-15,0.7942316323196981,-1.3031808905781084
2023-08-16,0.7939324308348248,-1.3246423280571795
2023-08-17,0.794448473669913,-1.3508382592121948
2023-08-18,0.7944879972811781,-1.3775252337861157
2023-08-21,0.7935304787826729,-1.4084389365348675
2023-08-22,0.793528453677857,-1.4404971760552538
2023-08-23,0.7922106405814046,-1.4769145150977845
2023-08-24,0.7921908101116371,-1.5099310757985305
2023-08-25,0.7922761829124811,-1.5360236769944486
2023-08-28,0.7918320255220251,-1.561414804062357
2023-08-29,0.7890878434382074,-1.593565706204495
2023-08-30,0.7891537789674015,-1.6253305628452417
2023-08-31,0.7879098552460729,-1.6659703683758431
2023-09-01,0.7876372607517946,-1.7012563397257792
2023-09-05,0.7874635266255858,-1.7321341671567387
2023-09-06,0.7870473414265511,-1.7624296566246231
2023-09-07,0.7864073870935538,-1.7935800963643245
2023-09-08,0.7852153214093611,-1.830669294276167
2023-09-11,0.7853591538435102,-1.8668417531391313
2023-09-12,0.7844280393661249,-1.8996003202082525
2023-09-13,0.7834902790845935,-1.9347661003284704
2023-09-14,0.7771008868782759,-1.9790996679607935
2023-09-15,0.778647989846721,-2.0186559101244392
2023-09-18,0.7792863337400405,-2.0574237424997626
2023-09-19,0.7791259241642112,-2.093853722118776
2023-09-20,0.7793428556351921,-2.1158839174960864
2023-09-21,0.7801105412817543,-2.1365571542484156
2023-09-22,0.7788607288320588,-2.1541840811165684
2023-09-25,0.7789500713152759,-2.170604289106464
2023-09-26,0.7770788405521799,-2.189678680620112
2023-09-27,0.7768548977125403,-2.2075241995028247
2023-09-28,0.7764316845810495,-2.2237127446815004
2023-09-29,0.7745267222728498,-2.238912998983619
2023-10-02,0.7692805524700043,-2.268220908197664
2023-10-03,0.7698816274215695,-2.292584588594856
2023-10-04,0.7672791060404855,-2.3182875688156046
2023-10-05,0.7612763781504348,-2.327909597179759
2023-10-06,0.7619017715461572,-2.3438392394263934
2023-10-09,0.7625581739088383,-2.3621695751481178
2023-10-10,0.7588044699374007,-2.3867829555963143
2023-10-11,0.7588607552433566,-2.41254196739675
2023-10-12,0.759801626408575,-2.4397595741628417
2023-10-13,0.7608675841395425,-2.4607271715148142
2023-10-16,0.7582925796532053,-2.486438948288246
